kaggle_label,final_label
acantharia_protist_big_center,acantharia
acantharia_protist_halo,acantharia
acantharia_protist,acantharia
amphipods,amphipoda
appendicularian_fritillaridae,appendicularia
appendicularian_s_shape,appendicularia
appendicularian_slight_curve,appendicularia
appendicularian_straight,appendicularia
artifacts_edge,artifacts
artifacts,artifacts
chaetognath_non_sagitta,chaetognatha
chaetognath_other,chaetognatha
chaetognath_sagitta,chaetognatha
chordate_type1,chordate
copepod_calanoid_eggs,copepod_eggs
copepod_calanoid_eucalanus,copepod
copepod_calanoid_flatheads,copepod
copepod_calanoid_frillyAntennae,copepod
copepod_calanoid_large_side_antennatucked,copepod
copepod_calanoid_large,copepod
copepod_calanoid_octomoms,copepod
copepod_calanoid_small_longantennae,copepod
copepod_calanoid,copepod
copepod_cyclopoid_copilia,copepod
copepod_cyclopoid_oithona_eggs,copepod
copepod_cyclopoid_oithona,copepod
copepod_other,copepod
crustacean_other,crustaceae
ctenophore_cestid,ctenophore_cestid
ctenophore_cydippid_no_tentacles,ctenophore_cydippid
ctenophore_cydippid_tentacles,ctenophore_cydippid
ctenophore_lobate,ctenophore_lobate
decapods,decapods
detritus_blob,detritus_blob
detritus_filamentous,detritus_filamentous
detritus_other,detritus_other
diatom_chain_string,diatom
diatom_chain_tube,diatom
echinoderm_larva_pluteus_brittlestar,echinoderm_larva_pluteus
echinoderm_larva_pluteus_early,echinoderm_larva_pluteus
echinoderm_larva_pluteus_typeC,echinoderm_larva_pluteus
echinoderm_larva_pluteus_urchin,echinoderm_larva_pluteus
echinoderm_larva_seastar_bipinnaria,echinoderm_larva_seastar
echinoderm_larva_seastar_brachiolaria,echinoderm_larva_seastar
echinoderm_seacucumber_auricularia_larva,echinoderm_seacucumber
echinopluteus,echinopluteus
ephyra,ephyra
euphausiids_young,euphausiaceae
euphausiids,euphausiaceae
fecal_pellet,fecal_pellet
fish_larvae_deep_body,fish_larvae
fish_larvae_leptocephali,fish_larvae
fish_larvae_medium_body,fish_larvae
fish_larvae_myctophids,fish_larvae
fish_larvae_thin_body,fish_larvae
fish_larvae_very_thin_body,fish_larvae
heteropod,heteropod
hydromedusae_aglaura,hydromedusae
hydromedusae_bell_and_tentacles,hydromedusae
hydromedusae_h15,hydromedusae
hydromedusae_haliscera_small_sideview,hydromedusae
hydromedusae_haliscera,hydromedusae
hydromedusae_liriope,hydromedusae
hydromedusae_narco_dark,hydromedusae
hydromedusae_narco_young,hydromedusae
hydromedusae_narcomedusae,hydromedusae
hydromedusae_other,hydromedusae
hydromedusae_partial_dark,hydromedusae
hydromedusae_shapeA_sideview_small,hydromedusae
hydromedusae_shapeA,hydromedusae
hydromedusae_shapeB,hydromedusae
hydromedusae_sideview_big,hydromedusae
hydromedusae_solmaris,hydromedusae
hydromedusae_solmundella,hydromedusae
hydromedusae_typeD_bell_and_tentacles,hydromedusae
hydromedusae_typeD,hydromedusae
hydromedusae_typeE,hydromedusae
hydromedusae_typeF,hydromedusae
invertebrate_larvae_other_A,invertebrate_larvae
invertebrate_larvae_other_B,invertebrate_larvae
jellies_tentacles,jellyfish
polychaete,polychaete
protist_dark_center,protist
protist_fuzzy_olive,protist
protist_noctiluca,protist
protist_other,protist
protist_star,protist
pteropod_butterfly,pteropod_butterfly
pteropod_theco_dev_seq,pteropod_theco
pteropod_triangle,pteropod_triangle
radiolarian_chain,radiolarian
radiolarian_colony,radiolarian
shrimp_caridean,shrimp
shrimp_sergestidae,shrimp
shrimp_zoea,shrimp
shrimp-like_other,shrimp
siphonophore_calycophoran_abylidae,siphonophore
siphonophore_calycophoran_rocketship_adult,siphonophore
siphonophore_calycophoran_rocketship_young,siphonophore
siphonophore_calycophoran_sphaeronectes_stem,siphonophore
siphonophore_calycophoran_sphaeronectes_young,siphonophore
siphonophore_calycophoran_sphaeronectes,siphonophore
siphonophore_other_parts,siphonophore
siphonophore_partial,siphonophore
siphonophore_physonect_young,siphonophore
siphonophore_physonect,siphonophore
stomatopod,stomatopod
tornaria_acorn_worm_larvae,tornaria_acorn_worm_larvae
trichodesmium_bowtie,trichodesmium
trichodesmium_multiple,trichodesmium
trichodesmium_puff,trichodesmium
trichodesmium_tuft,trichodesmium
trochophore_larvae,trochophore_larvae
tunicate_doliolid_nurse,tunicate_doliolid
tunicate_doliolid,tunicate_doliolid
tunicate_partial,tunicate_salp
tunicate_salp_chains,tunicate_salp
tunicate_salp,tunicate_salp
unknown_blobs_and_smudges,unknown_blobs_and_smudges
unknown_sticks,unknown_sticks
unknown_unclassified,unknown_unclassified

